#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
1#42366#37,0#management#married#tertiary#no#4842,0#yes#no#cellular#25#nov#1.0#-1,0#0#unknown#no
2#12937#31,0#management#single#tertiary#no#1598,0#yes#no#cellular#7#jul#33.0#-1,0#0#unknown#no
3#37543#29,0#admin.#single#secondary#no#65,0#yes#no#cellular#14#may#6.0#-1,0#0#unknown#no
4#29012#55,0#management#divorced#tertiary#no#-207,0#no#no#cellular#2#feb#1.0#-1,0#0#unknown#no
5#23467#56,0#retired#married#primary#yes#-123,0#no#yes#cellular#28#aug#3.0#-1,0#0#unknown#no
6#33298#40,0#admin.#single#secondary#no#2360,0#yes#no#cellular#20#apr#2.0#-1,0#0#unknown#no
7#6088#43,0#management#single#secondary#no#109,0#yes#no#unknown#27#may#3.0#-1,0#0#unknown#no
8#29699#45,0#management#married#tertiary#no#1199,0#no#no#telephone#3#feb#2.0#-1,0#0#unknown#no
9#31871#26,0#student#single#secondary#no#766,0#no#no#cellular#9#apr#6.0#-1,0#0#unknown#no
10#20691#43,0#services#married#secondary#no#378,0#no#yes#cellular#12#aug#4.0#-1,0#0#unknown#no
11#32504##services#married#secondary#no#798,0#no#no#cellular#17#apr#1.0#338,0#1#other#no
12#42247#48,0#blue-collar#married#secondary#no#1230,0#yes#no#cellular#12#nov#1.0#196,0#2#success#yes
13#11545#55,0#housemaid#married#primary#no#1537,0#no#no#unknown#19#jun#1.0#-1,0#0#unknown#no
14#20895#35,0#technician#single#tertiary#no#354,0#yes#no#cellular#13#aug#1.0#-1,0#0#unknown#no
15#42485#40,0#management#single#tertiary#no#3797,0#no#no#cellular#14#dec#1.0#195,0#2#failure#no
16#44211#46,0#management#married#secondary#no#766,0#yes#no#unknown#16#jul#1.0#-1,0#0#unknown#no
17#5310##management#married#unknown#no#18347,0#yes#no#unknown#23#may#1.0#-1,0#0#unknown#no
