ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
4§47,0§blue-collar§married§unknown§no§1506,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
8§42,0§entrepreneur§divorced§tertiary§yes§2,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
12§29,0§admin.§single§secondary§no§390,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
22§§management§married§tertiary§no§779,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
30§36,0§technician§single§secondary§no§265,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
33§60,0§admin.§married§secondary§no§39,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
37§25,0§blue-collar§married§secondary§no§-7,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
41§44,0§services§divorced§secondary§no§2586,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
45§58,0§retired§married§unknown§no§96,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
46§36,0§admin.§single§primary§no§-171,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
49§55,0§technician§divorced§secondary§no§0,0§no§no§unknown§5§may§1,0§-1,0§0§unknown§
52§48,0§management§divorced§tertiary§no§-244,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
60§46,0§services§married§primary§no§179,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
64§33,0§services§married§secondary§no§790,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
75§43,0§technician§married§secondary§no§1937,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
81§45,0§admin.§single§secondary§no§206,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
85§46,0§self-employed§married§tertiary§no§137,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
87§56,0§admin.§married§secondary§no§45,0§no§no§unknown§5§may§1,0§-1,0§0§unknown§
88§41,0§technician§married§secondary§no§1270,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
99§39,0§technician§married§secondary§no§0,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
106§44,0§blue-collar§married§secondary§no§54,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
109§59,0§retired§single§secondary§no§30,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
110§45,0§management§married§tertiary§no§523,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
114§36,0§blue-collar§married§primary§no§448,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
117§41,0§admin.§married§secondary§no§351,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
128§34,0§services§married§secondary§no§-16,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
129§31,0§blue-collar§married§secondary§no§0,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
135§28,0§unemployed§single§tertiary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
137§32,0§technician§single§secondary§no§0,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
141§53,0§housemaid§divorced§primary§no§947,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
145§59,0§blue-collar§married§secondary§no§57,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
146§33,0§services§married§secondary§no§22,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
147§56,0§blue-collar§divorced§primary§no§8,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
152§§student§single§secondary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
157§51,0§blue-collar§married§unknown§no§1883,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
158§60,0§retired§divorced§secondary§no§216,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
162§39,0§technician§single§tertiary§no§47,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
166§26,0§admin.§single§secondary§no§82,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
170§50,0§blue-collar§married§primary§no§0,0§no§no§unknown§5§may§3,0§-1,0§0§unknown§
172§44,0§services§married§secondary§no§1357,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
173§53,0§entrepreneur§married§unknown§no§19,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
176§53,0§admin.§divorced§secondary§no§1151,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
177§48,0§unemployed§married§secondary§no§41,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
180§51,0§management§married§secondary§no§1161,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
181§31,0§services§married§tertiary§no§37,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
183§35,0§services§married§secondary§no§59,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
184§§technician§married§secondary§no§253,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
185§36,0§admin.§married§tertiary§no§211,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
194§42,0§admin.§married§secondary§no§445,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
197§§services§married§secondary§no§155,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
198§50,0§technician§divorced§tertiary§no§173,0§no§yes§unknown§5§may§1,0§-1,0§0§unknown§
200§61,0§blue-collar§divorced§primary§no§1428,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
203§44,0§blue-collar§married§secondary§no§575,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
204§35,0§student§single§unknown§no§298,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
209§39,0§services§single§unknown§no§257,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
211§38,0§blue-collar§married§secondary§no§-390,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
213§59,0§housemaid§divorced§primary§no§195,0§no§no§unknown§5§may§2,0§-1,0§0§unknown§
214§§services§married§secondary§no§301,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
220§39,0§management§married§tertiary§no§378,0§yes§yes§unknown§5§may§2,0§-1,0§0§unknown§
223§35,0§entrepreneur§divorced§secondary§no§-69,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
224§55,0§retired§married§secondary§no§0,0§no§yes§unknown§5§may§1,0§-1,0§0§unknown§
226§48,0§blue-collar§married§primary§no§278,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
227§58,0§management§married§unknown§no§1065,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
231§47,0§blue-collar§married§primary§no§-12,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
234§53,0§blue-collar§married§unknown§no§1827,0§no§no§unknown§5§may§1,0§-1,0§0§unknown§
237§53,0§admin.§divorced§secondary§no§315,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
238§37,0§blue-collar§married§primary§no§0,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
241§46,0§technician§married§secondary§no§349,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
247§22,0§blue-collar§single§secondary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
251§49,0§admin.§married§secondary§no§428,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
253§34,0§services§single§secondary§no§0,0§yes§no§unknown§5§may§1,0§-1,0§0§unknown§
257§59,0§entrepreneur§divorced§secondary§no§901,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
266§30,0§student§single§tertiary§no§25,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
276§59,0§retired§married§secondary§no§319,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
277§39,0§services§divorced§secondary§no§-185,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
278§49,0§services§married§secondary§no§47,0§no§no§unknown§5§may§2,0§-1,0§0§unknown§
280§36,0§self-employed§married§tertiary§no§19,0§no§no§unknown§5§may§2,0§-1,0§0§unknown§
281§50,0§blue-collar§married§primary§no§61,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
282§41,0§admin.§married§secondary§no§-62,0§yes§yes§unknown§5§may§2,0§-1,0§0§unknown§
283§§technician§married§tertiary§no§258,0§no§no§unknown§5§may§4,0§-1,0§0§unknown§
284§58,0§blue-collar§married§primary§no§76,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
285§30,0§blue-collar§single§secondary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
287§47,0§admin.§married§secondary§no§368,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
291§37,0§management§married§tertiary§no§58,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
300§57,0§technician§married§secondary§no§792,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
305§53,0§services§married§unknown§no§257,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
312§54,0§technician§married§unknown§no§851,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
313§55,0§services§divorced§primary§no§96,0§yes§yes§unknown§5§may§2,0§-1,0§0§unknown§
321§51,0§blue-collar§married§secondary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
326§55,0§management§single§tertiary§no§115,0§no§no§unknown§5§may§4,0§-1,0§0§unknown§
327§40,0§blue-collar§single§secondary§no§436,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
329§57,0§technician§married§unknown§no§206,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
331§48,0§blue-collar§married§secondary§no§1,0§no§no§unknown§5§may§3,0§-1,0§0§unknown§
342§43,0§management§divorced§secondary§no§693,0§yes§no§unknown§5§may§3,0§-1,0§0§unknown§
343§40,0§blue-collar§divorced§secondary§no§-333,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
346§53,0§services§married§unknown§no§18,0§no§no§unknown§5§may§2,0§-1,0§0§unknown§
354§36,0§blue-collar§married§secondary§no§0,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
358§33,0§entrepreneur§single§tertiary§no§1068,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
359§40,0§blue-collar§married§secondary§no§211,0§yes§no§unknown§5§may§4,0§-1,0§0§unknown§
361§48,0§management§married§tertiary§no§263,0§yes§no§unknown§5§may§2,0§-1,0§0§unknown§
368§43,0§management§divorced§tertiary§no§1,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
369§38,0§admin.§divorced§tertiary§no§86,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
371§34,0§services§married§secondary§no§22,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
379§33,0§management§married§tertiary§no§0,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
392§37,0§technician§married§tertiary§no§8730,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
396§§technician§single§secondary§no§0,0§yes§yes§unknown§6§may§3,0§-1,0§0§unknown§
402§48,0§technician§married§secondary§no§141,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
403§29,0§self-employed§single§tertiary§no§16,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
407§58,0§retired§married§tertiary§no§0,0§no§no§unknown§6§may§1,0§-1,0§0§unknown§
411§32,0§services§single§secondary§no§406,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
412§51,0§blue-collar§married§primary§no§230,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
421§49,0§management§single§tertiary§no§163,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
424§40,0§blue-collar§married§secondary§no§0,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
429§38,0§technician§single§tertiary§no§4325,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
435§32,0§blue-collar§married§secondary§no§320,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
436§55,0§admin.§married§secondary§no§183,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
438§35,0§management§single§tertiary§no§560,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
439§58,0§technician§divorced§secondary§no§469,0§no§no§unknown§6§may§1,0§-1,0§0§unknown§
441§49,0§services§married§primary§no§61,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
444§24,0§self-employed§single§secondary§no§0,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
446§51,0§admin.§divorced§secondary§no§228,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
453§46,0§management§divorced§unknown§no§2,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
461§58,0§blue-collar§divorced§secondary§no§-11,0§no§no§unknown§6§may§1,0§-1,0§0§unknown§
464§39,0§unemployed§married§primary§no§408,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
467§36,0§admin.§single§secondary§no§20,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
470§44,0§self-employed§married§tertiary§no§292,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
471§44,0§services§divorced§secondary§no§424,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
